College Name,"IIT BHU Varanasi"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 13:20:22"
Total KPIs,24
Data Found,24
Data Not Found,0
High Confidence,20
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Faculty",3,3,100%
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Admissions",2,2,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
Total Graduate Students (2025),Student Demographics,"1704 [UG 4Y: 1073, UG 5Y: 319, PG 2Y: 312]",Extracted from NIRF 2025 document,https://www.iitbhu.ac.in/contents/iitbhu/docs/nirf_2025_overall_report.pdf,low,low,critical,,unknown
Placed Students Count,Placements,"1493 [UG: 1269, PG: 224]",Extracted from NIRF 2025 document,https://www.iitbhu.ac.in/contents/iitbhu/docs/nirf_2025_overall_report.pdf,low,low,critical,,unknown
Median Compensation (Last Batch),Placements,20.00 LPA,Extracted from NIRF 2025 document,https://www.iitbhu.ac.in/contents/iitbhu/docs/nirf_2025_overall_report.pdf,low,low,critical,,unknown
Students Pursuing Higher Education,Student Outcomes,"200 [UG: 113, PG: 87]",Extracted from NIRF 2025 document,https://www.iitbhu.ac.in/contents/iitbhu/docs/nirf_2025_overall_report.pdf,low,low,critical,,unknown
Total Students Enrolled,Student Demographics,7374,Extracted from NIRF 2025 document,https://www.iitbhu.ac.in/contents/iitbhu/docs/nirf_2025_overall_report.pdf,low,low,critical,,unknown
Female Students Enrolled,Student Demographics,1431,Extracted from NIRF 2025 document,https://www.iitbhu.ac.in/contents/iitbhu/docs/nirf_2025_overall_report.pdf,low,low,critical,,unknown
Total Faculty,Faculty,351,Extracted from NIRF 2025 document,https://www.iitbhu.ac.in/contents/iitbhu/docs/nirf_2025_overall_report.pdf,low,low,critical,,unknown
PhD Faculty,Faculty,347,Extracted from NIRF 2025 document,https://www.iitbhu.ac.in/contents/iitbhu/docs/nirf_2025_overall_report.pdf,low,low,critical,,unknown
Average Teaching Experience of Faculty,Faculty,15.1,Extracted from NIRF 2025 document,https://www.iitbhu.ac.in/contents/iitbhu/docs/nirf_2025_overall_report.pdf,low,low,critical,,unknown
PhD Students Enrolled,Student Demographics,"1196 [Full Time: 1123, Part Time: 73]",Extracted from NIRF 2025 document,https://www.iitbhu.ac.in/contents/iitbhu/docs/nirf_2025_overall_report.pdf,low,low,critical,,unknown
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,Three smart lecture theatre complexes have been established and equipped with LCD projector in each classrooms alongwith the backup of the electricity.,https://www.iitbhu.ac.in/contents/institute/dean/doaa/doc/annual_report_english_2023-24.pdf,medium,high,high,2023,low
Digital Library Access,Academic Infrastructure,True,"Electronic resources such as e-journals, e-books, databases, etc. made available by the Central Library, IIT (BHU) are for academic use.",https://www.iitbhu.ac.in/cf/cis,medium,high,high,,unknown
Male Hostels Managed by College,Campus Facilities,1,Venue and time for the Registration For Boys - Prafulla Chandra Ray [Hostel],https://www.iitbhu.ac.in/acad/fresher,low,medium,high,,unknown
Female Hostels Managed by College,Campus Facilities,1,Venue and time for the Registration ... For Girls - GSMC(Extension) [Hostel],https://www.iitbhu.ac.in/acad/fresher,low,medium,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,"Online profile registration, add/drop courses... transcripts has keen automated and taken care by the examination unit. The office of the Dean (Academic Affairs) has totally automated.",https://www.iitbhu.ac.in/contents/institute/dean/doaa/doc/annual_report_english_2023-24.pdf,medium,high,high,2023,low
