College Name,"PES University Bangalore"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 14:52:27"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,12
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,PES University has smart classrooms and uses PESU Academy as its Learning Management System (LMS) for academic delivery.,https://pes.edu/infrastructure/,medium,high,medium,,unknown
Digital Library Access,Academic Infrastructure,True,"The library provides access to various e-resources, including IEEE, Springer, and ScienceDirect, through its digital portal.",https://pes.edu/library/,medium,high,medium,,unknown
Male Hostels Managed by College,Campus Facilities,2,PES University provides on-campus hostel facilities for boys including the New Boys Hostel and the old block.,https://pes.edu/hostels/,low,medium,medium,,unknown
Female Hostels Managed by College,Campus Facilities,1,The university offers a dedicated girls' hostel block with modern amenities on the campus.,https://pes.edu/hostels/,low,medium,medium,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,N/A,"PESU Academy is the comprehensive ERP system used for student records, attendance, and academic management.",,low,high,medium,,unknown
List of Courses,Academic Programs,"B.Tech(CSE, ECE, ME, EE, CE, BT), M.Tech(CSE, VLSI, ME), MBA, BBA, MCA, B.Des, B.Arch, B.Pharm, Pharm.D, LL.B, Ph.D","PES University offers B.Tech, M.Tech, MBA, BBA, MCA, B.Des, B.Arch, B.Pharm, Pharm.D, and Law programs across its campuses.",https://pes.edu/programs/,medium,high,medium,,unknown
Fees for Each Course,Academic Programs,"{'B.Tech': 480000, 'BBA': 220000, 'MBA': 600000, 'B.Des': 380000, 'MCA': 250000}",B.Tech annual tuition fee is approximately 4.8 Lakhs per annum for PESSAT quota.,https://pes.edu/pessat/fee-structure/,medium,high,medium,,unknown
Total Graduate Students (2025),Student Demographics,2450,Estimated based on total intake capacity across undergraduate and postgraduate programs for the 2021-2025 cycle.,https://pes.edu/nirf/,low,medium,critical,2021,low
Placed Students Count,Placements,1850,"Over 1,800 students from the graduating batch secured offers during the campus recruitment drive.",https://pes.edu/placements/,medium,high,medium,,unknown
Maximum Compensation (Last Placement Season),Placements,65.00 LPA,The highest package offered to a student of the 2024 batch was 65 LPA.,https://pes.edu/placements/,medium,high,medium,2024,medium
