College Name,"KLE Technological University"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 15:13:04"
Total KPIs,24
Data Found,24
Data Not Found,0
High Confidence,22
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Faculty",3,3,100%
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Admissions",2,2,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
Total Graduate Students (2025),Student Demographics,"1436 [UG 3Y: 38, UG 4Y: 1169, UG 5Y: 68, PG 2Y: 161]",Extracted from NIRF 2025 document,https://www.kletech.ac.in/Uploads/image/246imguf_NIRF-2025-Overall-Category-Submission-13th-January-2025.pdf,low,low,critical,,unknown
Placed Students Count,Placements,"884 [UG: 779, PG: 105]",Extracted from NIRF 2025 document,https://www.kletech.ac.in/Uploads/image/246imguf_NIRF-2025-Overall-Category-Submission-13th-January-2025.pdf,low,low,critical,,unknown
Median Compensation (Last Batch),Placements,4.50 LPA,Extracted from NIRF 2025 document,https://www.kletech.ac.in/Uploads/image/246imguf_NIRF-2025-Overall-Category-Submission-13th-January-2025.pdf,low,low,critical,,unknown
Students Pursuing Higher Education,Student Outcomes,155 [UG: 155],Extracted from NIRF 2025 document,https://www.kletech.ac.in/Uploads/image/246imguf_NIRF-2025-Overall-Category-Submission-13th-January-2025.pdf,low,low,critical,,unknown
Total Students Enrolled,Student Demographics,6670,Extracted from NIRF 2025 document,https://www.kletech.ac.in/Uploads/image/246imguf_NIRF-2025-Overall-Category-Submission-13th-January-2025.pdf,low,low,critical,,unknown
Female Students Enrolled,Student Demographics,2666,Extracted from NIRF 2025 document,https://www.kletech.ac.in/Uploads/image/246imguf_NIRF-2025-Overall-Category-Submission-13th-January-2025.pdf,low,low,critical,,unknown
Total Faculty,Faculty,365,Extracted from NIRF 2025 document,https://www.kletech.ac.in/Uploads/image/246imguf_NIRF-2025-Overall-Category-Submission-13th-January-2025.pdf,low,low,critical,,unknown
PhD Faculty,Faculty,121,Extracted from NIRF 2025 document,https://www.kletech.ac.in/Uploads/image/246imguf_NIRF-2025-Overall-Category-Submission-13th-January-2025.pdf,low,low,critical,,unknown
Average Teaching Experience of Faculty,Faculty,14.12,Extracted from NIRF 2025 document,https://www.kletech.ac.in/Uploads/image/246imguf_NIRF-2025-Overall-Category-Submission-13th-January-2025.pdf,low,low,critical,,unknown
PhD Students Enrolled,Student Demographics,"133 [Full Time: 25, Part Time: 108]",Extracted from NIRF 2025 document,https://www.kletech.ac.in/Uploads/image/246imguf_NIRF-2025-Overall-Category-Submission-13th-January-2025.pdf,low,low,critical,,unknown
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,Digital resources are IP enabled. Campus wide Access to all the users. NPTEL & Swayam and other MOOCs platform available for Video Lectures,https://www.kletech.ac.in/pdf/Mandatory-Disclosure-Edited.pdf,medium,high,high,,unknown
Digital Library Access,Academic Infrastructure,True,"Digital Library facility with number of nodes and Access to all the users. E-Books: 97987, E-Journals: 24637",https://www.kletech.ac.in/pdf/Mandatory-Disclosure-Edited.pdf,medium,high,high,,unknown
Male Hostels Managed by College,Campus Facilities,1,Boys Hostel 10080 square meters.,https://www.kletech.ac.in/pdf/Mandatory-Disclosure-Edited.pdf,medium,high,high,,unknown
Female Hostels Managed by College,Campus Facilities,1,Girls Hostel 14045 square meters,https://www.kletech.ac.in/pdf/Mandatory-Disclosure-Edited.pdf,medium,high,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,Digital resources are IP enabled. Campus wide Access to all the users... Every school and department is connected with intercom Telephone facility.,https://www.kletech.ac.in/pdf/Mandatory-Disclosure-Edited.pdf,low,medium,high,,unknown
List of Courses,Academic Programs,"B.E(Civil, Mechanical, ECE, CSE, AI, EE, Biomedical, Chemical, Automation & Robotics, Biotechnology, VLSI Design & Tech), B.Arch, BBA, BCA, B.Com(Hons), B.Sc(Fashion), M.Tech(Structural, Design, Advanced Manufacturing, VLSI, CSE, Environmental), MBA, MCA, LL.B, B.A. LL.B, B.B.A. LL.B, B.Com. LL.B, LLM, Ph.D(ME, ECE, CSE, EE, Civil, Management, Biotechnology, Architecture, Chemistry, Math, Physics, Humanities, Law), MS(Engg) by Research",Undergraduate B E Civil Engineering B E Mechanical Engineering... Postgraduate M.Tech Structural Engineering... Research Ph.D. in Mechanical Engineering...,https://www.kletech.ac.in/academics/phd-programs,medium,high,high,,unknown
Fees for Each Course,Academic Programs,"{'B.E (CSE/ECE/Civil/EE/ME)': 201960, 'B.E (Biotechnology)': 110000, 'B.E (Automation & Robotics)': 160000, 'B.Arch': 201960, 'M.Tech (All Branches)': 125000, 'MBA': 140000, 'MCA': 90000}","Tuition Fees ... MEC, EC, CSE, Civil & E&E: 201960.00; BT: 110000.00; A&R: 160000.00; B.Arch: 201960.00; M. Tech: 125000.00; MBA: 140000.00; MCA: 90000.00",https://www.kletech.ac.in/hubballi/admission/domestic-admission/course-fee-structure,medium,high,high,,unknown
Maximum Compensation (Last Placement Season),Placements,43 LPA,About Placements... Setting A New Placement Record. 43. LPA Highest,https://www.kletech.ac.in/placements/about-placements,medium,high,high,,unknown
Entrance Exam Name,Admissions,KCET / COMEDK,Particular Cet-Aided Cet-Un-Aided Comed-K And Management Quota,https://www.kletech.ac.in/hubballi/admission/domestic-admission/course-fee-structure,medium,high,high,,unknown
Entrance Exam Cutoff by Program,Admissions,N/A,Invalid source URL,,low,low,unknown,,unknown
Sports Infrastructure & Achievements,Campus Facilities,"{'facilities': ['Playground (22500 square meters)', 'Gymnasium (68.75 square meters)', 'Student Activity Centre'], 'achievements': []}",Playground 22500 square meters... Gymnasium 68.75 square meters... Student Activity Centre 300 square meters,https://www.kletech.ac.in/pdf/Mandatory-Disclosure-Edited.pdf,medium,high,high,,unknown
List of Active Clubs,Student Life,"['IEEE Student Chapter', 'K-Tech Innovation Hub', 'CTIE (Centre for Technology Innovation and Entrepreneurship)', 'Placement Committee']",IEEE K-Tech Innovation Hub... CTIE... Placement Committee and is a wing of the Mentor Cell.,https://www.kletech.ac.in/bengaluru/placements/overview,medium,medium,high,,unknown
NIRF Ranking,Accreditations & Rankings,N/A,Invalid source URL,,low,low,unknown,,unknown
Institutional Status,Accreditations & Rankings,Private-Self Financing University,"Institution Type Private-Self Financing... KLE Technological University, Hubballi... University Documents G.O. No: ED/387/URC/2022",https://www.kletech.ac.in/pdf/EOA-Report-2023-24.pdf,medium,high,high,2023,low
