College Name,"PEC University of Technology Chandigarh"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 14:32:38"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,25
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,PEC has well-equipped smart classrooms and ICT-enabled lecture halls to facilitate modern teaching-learning processes.,https://pec.ac.in/infrastructure,medium,high,high,,unknown
Digital Library Access,Academic Infrastructure,True,"The library provides access to various e-resources, including IEEE, Springer, and ScienceDirect, through its digital portal.",https://pec.ac.in/library,medium,high,high,,unknown
Male Hostels Managed by College,Campus Facilities,4,"There are four boys' hostels: Shivalik, Kurukshetra, Himalaya, and Aravali.",https://pec.ac.in/hostels,low,high,high,,unknown
Female Hostels Managed by College,Campus Facilities,2,The institute has two girls' hostels: Kalpana Chawla and Vindhya.,https://pec.ac.in/hostels,low,high,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,"PEC uses an Academic Management System (ERP) for student registration, attendance, and result processing.",https://pec.ac.in/academic-management-system,medium,high,high,,unknown
List of Courses,Academic Programs,"B.Tech(CSE, ECE, ME, EE, CE, PE, MME, AE), M.Tech(VLSI, AI, CSE, EE, ME, CE, ECE), Ph.D","PEC offers B.Tech in 8 disciplines and M.Tech in various specializations including VLSI and AI, along with PhD programs.",https://pec.ac.in/academic-programs,medium,high,high,,unknown
Fees for Each Course,Academic Programs,"{'B.Tech': 176000, 'M.Tech': 105000, 'Ph.D': 60000}","Annual tuition fee for B.Tech is approx 1.76 Lakhs, M.Tech is 1.05 Lakhs per year as per latest fee structure.",https://pec.ac.in/fee-structure,medium,high,high,,unknown
Total Graduate Students (2025),Student Demographics,842,"Based on NIRF 2024 data for the 2023-24 graduating batch, total students graduating in minimum stipulated time was 842.",https://pec.ac.in/nirf,medium,medium,critical,2024,medium
Placed Students Count,Placements,615,"Out of the graduating batch, 615 students were placed in various sectors during the 2023-24 placement cycle.",https://pec.ac.in/placement-statistics,medium,high,high,2023,low
Maximum Compensation (Last Placement Season),Placements,83.00 LPA,The highest package offered during the 2023-24 placement season stood at 83 LPA.,https://pec.ac.in/placements,medium,high,high,2023,low
