College Name,"Delhi Technological University"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 14:18:30"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,9
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,"Digital Education... EDUSAT Hub... The combination of a flexible curriculum, a wide array of learning opportunities and a conducive learning environment",https://www.dtu.ac.in/Web/Departments/DSM/tnp/,medium,high,high,,unknown
Digital Library Access,Academic Infrastructure,True,Facilities EDUSAT Hub Central Library Computer Centre,https://www.dtu.ac.in/Web/Departments/DSM/tnp/,medium,high,high,,unknown
Male Hostels Managed by College,Campus Facilities,N/A,Hostels Guest House Gymnasium Health Center,https://www.dtu.ac.in/Web/Departments/DSM/tnp/,low,low,high,,unknown
Female Hostels Managed by College,Campus Facilities,N/A,Hostels Guest House Gymnasium Health Center,https://www.dtu.ac.in/Web/Departments/DSM/tnp/,low,low,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,"Digital Education... Computer generated Report... Institution is however, required to submit updated Institutional information... on the AICTE web portal",https://www.dtu.ac.in/Web/AICTE/AICTE_approval.pdf,low,medium,high,,unknown
List of Courses,Academic Programs,"B.Tech(Biotechnology, Chemical, Civil, CSE, EE, ECE, Engineering Physics, Environmental, IT, Mathematics and Computing, ME, Automotive, Production and Industrial, Software), B.Des, BBA, BA(H) Economics, M.Tech(Structural, Environmental, Hydraulics, Geotechnical, Signal Processing, Microwave & Optical, VLSI, Control and Instrumentation, Power Systems, Thermal, Production, IT, Polymer, CSE, Software, Material Science, Bioinformatics, Geo Informatics, AI, Power Electronics, Industrial Engineering and Management, Energy Systems, Computer Aided Analysis and Design, Industrial Biotechnology, Data Science), M.Des, MBA(Business Analytics, Innovation Entrepreneurship and Venture Development, Executive), M.Sc, MA Economics, Ph.D","UNDER GRADUATE: B.Des, BIOTECHNOLOGY, CHEMICAL, CIVIL, CSE, ELECTRICAL, ECE, ENGINEERING PHYSICS, ENVIRONMENTAL, IT, MATHEMATICS AND COMPUTING, MECHANICAL, AUTOMOTIVE, PRODUCTION, SOFTWARE",https://www.dtu.ac.in/Web/AICTE/EOAReport%202025_2026.pdf,low,high,high,2020,low
Fees for Each Course,Academic Programs,N/A,Invalid source URL,,low,low,unknown,,unknown
Total Graduate Students (2025),Student Demographics,2611,Intake Approved for 2024-25: UG (2545) + PG (66 students excluding MBA/M.Des/Research). Total intake for 2024-25 is 2611.,https://www.dtu.ac.in/Web/AICTE/AICTE_approval.pdf,medium,medium,high,2024,medium
Placed Students Count,Placements,N/A,Data Not Found,https://www.dtu.ac.in/Web/Departments/Electronics/placements/,low,low,high,,unknown
Maximum Compensation (Last Placement Season),Placements,N/A,Data Not Found,https://www.dtu.ac.in/Web/Departments/DSM/tnp/,low,low,high,,unknown
Median Compensation (Last Batch),Placements,N/A,The provided documents mention placement data availability but do not list the specific median salary figures for the latest batch.,https://www.dtu.ac.in/Web/Departments/Electronics/placements/,low,low,high,,unknown
Students Pursuing Higher Education,Student Outcomes,N/A,The documents mention Ph.D scholars and higher education programs but do not provide the exact count of students selected for higher studies.,https://www.dtu.ac.in/Web/Admission/brochure/2023/brochure_phd_aug_2023.pdf,low,low,high,2023,low
IP Patents Granted/Licensed (Latest Year),Research & Innovation,N/A,"The website mentions 'Patents' as a section under the CSE department, but no specific count of granted or published patents is listed in the text.",https://www.dtu.ac.in/Web/Departments/CSE/placements/,low,low,high,,unknown
Entrance Exam Name,Admissions,JEE Main,"Delhi Technological University (formerly DCE) typically admits B.Tech students through JEE Main; however, the text lists B.Tech programs without explicitly naming the exam.",https://www.dtu.ac.in/Web/AICTE/AICTE_approval.pdf,medium,medium,high,,unknown
Entrance Exam Cutoff by Program,Admissions,N/A,The documents list the approved intake for various B.Tech and M.Tech programs but do not provide the cutoff ranks or percentiles.,https://www.dtu.ac.in/Web/AICTE/EOAReport%202025_2026.pdf,low,low,high,2020,low
Total Students Enrolled,Student Demographics,N/A,"The provided documents (AICTE EOA, Audited Statements, and Web Pages) list course intakes but do not provide the total actual student strength across all years.",https://www.dtu.ac.in/Web/AICTE/EOAReport%202025_2026.pdf,low,low,high,2020,low
Female Students Enrolled,Student Demographics,N/A,Invalid source URL,,low,low,unknown,,unknown
Total Faculty,Faculty,N/A,The AICTE EOA 2025-26 notes a 'Faculty Deficiency' but does not state the absolute total number of faculty currently employed.,https://www.dtu.ac.in/Web/AICTE/EOAReport%202025_2026.pdf,low,low,high,2020,low
PhD Faculty,Faculty,N/A,"While department pages list faculty names, a consolidated count of PhD holders for the entire institution is not provided in the source data.",https://www.dtu.ac.in/Web/Departments/Electrical/faculty/mayankkumaree.php,low,low,high,,unknown
Average Teaching Experience of Faculty,Faculty,N/A,Invalid source URL,,low,low,unknown,,unknown
Sports Infrastructure & Achievements,Campus Facilities,"{'facilities': ['Gymnasium', 'Annual Sports Report', 'Sports & Games facilities'], 'achievements': []}",Facilities ... Annual Sports Report ... Gymnasium ... Sports & Games,https://www.dtu.ac.in/Web/Departments/DSM/tnp/,medium,medium,high,,unknown
List of Active Clubs,Student Life,"['DTU IIF', 'NSS', 'NCC', 'Grievance Committees', 'Student Clubs', 'Societies']",Student Welfare DTU IIF • NSS • NCC ... Student Clubs ... Societies,https://www.dtu.ac.in/Web/Departments/DSM/tnp/,medium,high,high,,unknown
