College Name,"ICT Mumbai"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 14:43:05"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,12
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,ICT Mumbai is a vibrant University for high quality engineering education and research. ... NEP Implementation ICT Mumbai (2023 - 2024),https://www.ictmumbai.edu.in/,medium,high,high,2023,low
Digital Library Access,Academic Infrastructure,True,R22 Occasional Research Students... Doctoral (PhD) Programmes. The institute provides extensive e-resources for research.,https://www.ictmumbai.edu.in/DisplayPage.aspx?page=caaoc&ItemID=eaeec,medium,high,high,,unknown
Male Hostels Managed by College,Campus Facilities,0,Data Not Found,https://www.ictmumbai.edu.in/,low,low,high,,unknown
Female Hostels Managed by College,Campus Facilities,0,Data Not Found,https://www.ictmumbai.edu.in/,low,low,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,NEP Implementation ICT Mumbai (2023 - 2024) · Placement Data 2024-25 · Placement Data 2023-24,https://www.ictmumbai.edu.in/DisplayPage.aspx?page=ie&ItemID=eq,low,medium,high,2023,low
List of Courses,Academic Programs,"B.Tech(Chemical Engineering, Dyestuff Technology, Fibres and Textiles Processing Technology, Food Engineering and Technology, Oils, Oleochemicals and Surfactants Technology, Pharmaceuticals Chemistry and Technology, Polymer Engineering and Technology, Surface Coating Technology), B.Chem.Engg., M.Tech(Chemical Engineering, Bioprocess Technology, Food Biotechnology, Pharmaceutical Biotechnology, Perfumery and Flavour Technology), M.Chem.Engg., M.Sc(Chemistry, Physics, Mathematics), Ph.D, Post Graduate Diploma","Doctoral (PhD) Programmes, Post Graduate Diploma, Integrated MTech, UG Fibres... Institute of Chemical Technology, Mumbai... Category I Deemed to be University",https://www.ictmumbai.edu.in/DisplayPage.aspx?page=ge&ItemID=k,low,high,high,,unknown
Fees for Each Course,Academic Programs,N/A,Snippet mentions 'Scholarship' and 'Admission Notice' but does not provide specific annual tuition fee figures in INR.,https://www.ictmumbai.edu.in/NewsFilesN.aspx?id=iccaog&type=an,low,low,high,,unknown
Total Graduate Students (2025),Student Demographics,N/A,Snippet mentions 'Placement Data 2024-25' and 'Annual report 2024 - 2025' but does not provide the specific count of graduating students.,https://www.ictmumbai.edu.in/DisplayPage.aspx?page=eg&ItemID=e,low,low,high,2024,medium
Placed Students Count,Placements,N/A,"Placement Data 2024-25 and 2023-24 are listed as available links, but the specific integer count of placed students is not in the snippet.",https://www.ictmumbai.edu.in/DisplayPage.aspx?page=ie&ItemID=eq,low,low,high,2024,medium
Maximum Compensation (Last Placement Season),Placements,N/A,The snippets reference 'Placement Data 2023-24' and 'Placement Data 2024-25' but do not state the highest CTC value.,https://www.ictmumbai.edu.in/DisplayPage.aspx?page=eg&ItemID=e,low,low,high,2023,low
