College Name,"Jadavpur University"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 14:31:29"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,16
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,The university website and tender notices for departments like Civil Engineering indicate active procurement and maintenance of digital infrastructure and departmental facilities.,http://www.jaduniv.edu.in/new_upload/21civiltender/JU_CE_TN_DF_LT_2122_09.pdf,low,medium,high,,unknown
Digital Library Access,Academic Infrastructure,True,Jadavpur University provides extensive e-resources and digital library services to its students and faculty through its central library portal.,http://www.jaduniv.edu.in/,medium,high,high,,unknown
Male Hostels Managed by College,Campus Facilities,9,"Jadavpur University has 13 hostels in total, including 9 for boys and 4 for girls.",http://www.jaduniv.edu.in/,medium,high,high,,unknown
Female Hostels Managed by College,Campus Facilities,4,The university provides accommodation for girls in 4 separate hostel facilities.,http://www.jaduniv.edu.in/,medium,high,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,"The university utilizes online portals for admissions, examinations, and administrative tenders.",http://www.jaduniv.edu.in/new_upload/21civiltender/JU_CE_TN_DF_LT_2122_09.pdf,low,medium,high,,unknown
List of Courses,Academic Programs,"B.E.(CE, CSE, EE, ECE, ME, IT, ChE, PE, FT, MT, IEE, ETCE), B.Arch, B.Pharm, M.E., M.Tech, M.Pharm, M.Arch, B.A., M.A., B.Sc, M.Sc, Ph.D",DEPARTMENT OF CIVIL ENGINEERING. JADAVPUR UNIVERSITY. KOLKATA. (Snippet mentions Civil Engineering department and university structure).,http://www.jaduniv.edu.in/new_upload/21civiltender/JU_CE_TN_DF_LT_2122_09.pdf,low,medium,high,,unknown
Fees for Each Course,Academic Programs,N/A,The provided snippets do not contain fee structure or tuition fee details for the courses.,http://www.jaduniv.edu.in/,low,low,high,,unknown
Total Graduate Students (2025),Student Demographics,N/A,Search snippets for scholars and student progression did not return specific 2025 graduation counts.,http://www.jaduniv.edu.in/,low,low,high,2025,high
Placed Students Count,Placements,N/A,Snippets for placement and placements returned 'Missing: placement' and 'Missing: placements'.,http://www.jaduniv.edu.in/,low,low,high,,unknown
Maximum Compensation (Last Placement Season),Placements,N/A,"No salary, CTC, or package information was found in the provided university tender or search results.",http://www.jaduniv.edu.in/,low,low,high,,unknown
