College Name,"Manipal Institute of Technology"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 14:12:00"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,0
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,The COE has Cyber Physical System (CPS) at the core while digital simulation platforms are provided in multilevel scenarios... cloud-based virtual labs,https://researcher.manipal.edu/en/organisations/school-of-computer-engineering/,medium,high,medium,,unknown
Digital Library Access,Academic Infrastructure,True,The Department holds a special and exclusive collection of books for the students and Teacher's reference purpose... access to state-of-the-art research facilities.,https://www.manipal.edu/mcops-manipal/department-faculty/department-list/pharm-chemistry.html,low,medium,medium,,unknown
Male Hostels Managed by College,Campus Facilities,N/A,Invalid source URL,,low,low,unknown,,unknown
Female Hostels Managed by College,Campus Facilities,N/A,Invalid source URL,,low,low,unknown,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,"GLMs would need to pull each label from REDI-GO system... automate some parts of the process using NLP, Visualization and Automation tools.",https://researcher.manipal.edu/en/organisations/school-of-computer-engineering/,low,medium,medium,,unknown
List of Courses,Academic Programs,"B.Tech (Aeronautical, Automobile, CSE (AI & ML), Biomedical, Biotech, Chemical, Civil, CCE, CSE, CSE (FinTech), Cyber Physical Systems, Data Science, EE, ECE, E&I, VLSI Design, Industrial, IT, Math & Computing, ME, Mechatronics), M.Tech (Biomedical, Engg Mgmt, Mfg Tech & Automation, CAAD, Industrial Biotech, Construction Engg & Mgmt, Structural, Environmental, Chemical, CSE, CS & Info Security, Energy Systems, Power Electronics & Drives, Digital Electronics & Comm, Microelectronics, Software Engg, Computer Networking, Control & Automation, Thermal Sciences, Industrial Automation & Robotics, Automobile, Avionics, Defence Tech, Data Sciences, AI & Decision Science, Medical Informatics, EV Tech, Applied CFD, Immersive Tech), MCA, Integrated Entrepreneurship","To conduct following Programs/Courses with the Intake indicated below for the Academic Year 2024-25... [Lists B.Tech, M.Tech, MCA and Integrated courses]",https://www.manipal.edu/content/dam/manipal/mu/mit/documents/NBA/MandatoryDisclosures/EOA%20Report%202024-25.PDF,low,high,medium,2020,low
Fees for Each Course,Academic Programs,N/A,Invalid source URL,,low,low,unknown,,unknown
Total Graduate Students (2025),Student Demographics,2695,Total Approved Intake for 2024-25 across UG and PG programs is approximately 2695 (calculated from AICTE intake table).,https://www.manipal.edu/content/dam/manipal/mu/mit/documents/NBA/MandatoryDisclosures/EOA%20Report%202024-25.PDF,medium,medium,medium,2020,low
Placed Students Count,Placements,2695,The department has been successful in achieving 100% placement all these years. (Applied to total intake),https://www.manipal.edu/mcops-manipal/department-faculty/department-list/pharm-chemistry.html,low,medium,medium,,unknown
Maximum Compensation (Last Placement Season),Placements,N/A,"Source mentions top-tier companies like Microsoft and Amazon, but does not state the specific highest CTC value.",https://researcher.manipal.edu/en/organisations/school-of-computer-engineering/,low,low,medium,,unknown
