College Name,"Chandigarh University"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 14:48:59"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,11
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,"Chandigarh University uses ICT-enabled tools including online learning platforms, smart classrooms, and digital resources to enhance the teaching-learning process.",https://www.cuchd.in/,medium,high,medium,,unknown
Digital Library Access,Academic Infrastructure,True,"The University Library is fully automated and provides access to a wide range of e-resources, including e-journals and e-books through its digital library section.",https://www.cuchd.in/library/,medium,high,medium,,unknown
Male Hostels Managed by College,Campus Facilities,14,Chandigarh University offers separate hostel facilities for boys and girls with 14 boys' hostels located within the campus.,https://www.cuchd.in/student-services/hostel-facility.php,medium,high,medium,,unknown
Female Hostels Managed by College,Campus Facilities,10,The university provides 10 girls' hostels with modern amenities and 24/7 security for female students.,https://www.cuchd.in/student-services/hostel-facility.php,medium,high,medium,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,N/A,CUIMS (Chandigarh University Information Management System) is an in-house developed ERP that manages all academic and administrative activities.,,low,high,medium,,unknown
List of Courses,Academic Programs,"B.Tech(CSE, ECE, ME, CE, EE, Aerospace, Automobile, Biotech, Chemical), M.Tech(CSE, ECE, ME, CE, EE), MBA, BBA, MCA, BCA, B.Sc(Biotech, Nursing, Agriculture, HM), M.Sc, Ph.D","Chandigarh University offers a wide range of undergraduate and postgraduate courses including B.Tech, MBA, MCA, and specialized research programs.",https://www.cuchd.in/,medium,high,medium,,unknown
Fees for Each Course,Academic Programs,"{'B.Tech': 200000, 'MBA': 250000, 'BBA': 120000, 'MCA': 140000, 'BCA': 110000}","Annual tuition fees for B.Tech programs average around 2 Lakhs, while MBA programs are approximately 2.5 Lakhs per annum.",https://www.cuchd.in/admissions/fee-structure.php,low,medium,medium,,unknown
Total Graduate Students (2025),Student Demographics,12500,"Based on NIRF 2024 data trends and current intake, the graduating batch size for 2025 is projected at approximately 12,500 students across all programs.",https://www.cuchd.in/nirf/,low,medium,critical,2024,medium
Placed Students Count,Placements,9124,"A total of 9,124 students from the graduating batch were successfully placed in various national and international companies.",https://www.cuchd.in/placements/,medium,high,medium,,unknown
Maximum Compensation (Last Placement Season),Placements,1.70 Cr,"The highest international package offered reached a record 1.7 Crore, while the highest domestic package stood at 54.75 LPA.",https://www.cuchd.in/placements/,medium,high,medium,,unknown
