College Name,"NIT Kurukshetra"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 14:06:46"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,25
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,"The Institute has 11 Lecture Halls (L-1 to L-11) equipped with ICT facilities like Projectors, Audio systems and Internet connectivity.",https://nitkkr.ac.in/?page_id=581,medium,high,high,,unknown
Digital Library Access,Academic Infrastructure,True,"The Library has a rich collection of e-resources including e-journals, e-books and databases accessible through the campus network.",https://nitkkr.ac.in/?page_id=457,medium,high,high,,unknown
Male Hostels Managed by College,Campus Facilities,11,There are 11 Boys' Hostels (H-1 to H-11) in the Institute campus.,https://nitkkr.ac.in/?page_id=615,medium,high,high,,unknown
Female Hostels Managed by College,Campus Facilities,4,There are 4 Girls' Hostels (GH-1 to GH-4) in the Institute campus.,https://nitkkr.ac.in/?page_id=615,medium,high,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,The Institute has implemented an ERP system for academic and administrative processes including student registration and fee payment.,https://nitkkr.ac.in/?page_id=1432,medium,high,high,,unknown
List of Courses,Academic Programs,"B.Tech(CE, CSE, EE, ECE, ME, PIE, IT), M.Tech(Civil, Electrical, ECE, ME, CSE, Physics, Chemistry), MBA, MCA, Ph.D","The institute offers B.Tech, M.Tech, MBA, MCA and PhD courses in various specializations including Civil, Computer, Electrical, Electronics, Mechanical, IT and PIE.",https://nitkkr.ac.in/?page_id=611,medium,high,high,,unknown
Fees for Each Course,Academic Programs,"{'B.Tech': 125000, 'M.Tech': 70000, 'MBA': 100000, 'MCA': 70000}","Tuition fee for B.Tech is approx 62,500 per semester. M.Tech and MCA tuition fees are approx 35,000 per semester.",https://nitkkr.ac.in/wp-content/uploads/2023/07/Fee-Structure-2023-24.pdf,medium,medium,high,2023,low
Total Graduate Students (2025),Student Demographics,1124,Total number of students graduating in minimum stipulated time for UG 4-year and PG 2-year programs combined based on current intake trends.,https://www.nirfindia.org/2024/EngineeringRanking.html,low,medium,critical,2024,medium
Placed Students Count,Placements,853,Number of students placed: 853 out of total eligible students in the 2023-24 placement drive.,https://nitkkr.ac.in/?page_id=15535,medium,high,high,2023,low
Maximum Compensation (Last Placement Season),Placements,62.75 LPA,The highest package offered during the 2023-24 placement season was 62.75 LPA.,https://nitkkr.ac.in/?page_id=15535,medium,high,high,2023,low
