College Name,"Netaji Subhas University of Technology"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 14:46:26"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,9
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,One-Week Online Short-Term Course On MATLAB-based Solutions for Smart Cities 2025... FDP on AI in Medical Imaging... One week FDP on AI Securities and Ethics Practices,https://www.nsut.ac.in/,medium,high,high,2025,high
Digital Library Access,Academic Infrastructure,True,The Institute is giving a great deal of emphasis for strengthening the Industry Institute-interaction as well as interaction with other educational institution and R&D laboratories,https://www.nsut.ac.in/en/for-students/existing-students/training-%26-placement,low,medium,high,,unknown
Male Hostels Managed by College,Campus Facilities,N/A,Hostels | NSUT... One of India's most reputed University in the domain of Infrastructure.,https://www.nsut.ac.in/en/for-students/existing-students/hostels,low,low,high,,unknown
Female Hostels Managed by College,Campus Facilities,N/A,Hostels | NSUT... One of India's most reputed University in the domain of Infrastructure.,https://www.nsut.ac.in/en/for-students/existing-students/hostels,low,low,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,Fee Payment Gateway... One-week Short Term Course (STC) on Renewable Energy Control & Network Integration for Smart Grids (RE-CONNECT-2025),https://www.nsut.ac.in/hi/department/faculty/42,medium,high,high,2025,high
List of Courses,Academic Programs,"B.Tech(ECE, CE, ICE, MPAE, IT, BT, ME), M.Tech(IS, SP, PCE, EM, PE), B.Des, B.Arch, BBA(Hons), MBA, MBA-IEV, M.Sc(Physics, Chemistry, Mathematics), M.A(English, Applied Psychology), Ph.D",Undergraduate Programmes: B.Tech... Postgraduate Programmes: M.Tech... B.Des... B.Arch... BBA(Hons)... MBA... M.Sc... M.A... Ph.D,https://www.nsut.ac.in/,medium,high,high,,unknown
Fees for Each Course,Academic Programs,N/A,Fee Payment Gateway link present but specific annual tuition fee values for 2024-25 are not listed in the provided text.,https://www.nsut.ac.in/hi/department/faculty/42,low,low,high,2024,medium
Total Graduate Students (2025),Student Demographics,N/A,The provided text mentions circulars for newly admitted students and general placement records but lacks specific 2025 graduation counts.,https://www.nsut.ac.in/,low,low,high,2025,high
Placed Students Count,Placements,N/A,Almost all the students who graduated in current year have secured jobs... high percentage of our eligible students have been offered jobs.,https://www.nsut.ac.in/en/for-students/existing-students/training-%26-placement,low,medium,high,,unknown
Maximum Compensation (Last Placement Season),Placements,1.25 Cr,Software/Computer 4 to Rs 12500000 (1.25Crore) in (USD 207750.00),https://www.nsut.ac.in/en/for-students/existing-students/training-%26-placement,medium,high,high,,unknown
Median Compensation (Last Batch),Placements,N/A,"The source mentions a range of 4 to 125 LPA for B.E. and 4 to 27 LPA for M.Tech, but does not specify the median salary for the last batch.",https://www.nsut.ac.in/en/for-students/existing-students/training-%26-placement,low,low,high,,unknown
Students Pursuing Higher Education,Student Outcomes,N/A,The document mentions students were selected by reputed B-Schools and Foreign Universities but does not provide a specific count.,https://www.nsut.ac.in/en/for-students/existing-students/training-%26-placement,low,low,high,,unknown
IP Patents Granted/Licensed (Latest Year),Research & Innovation,N/A,The source mentions 'Notice Of Empanelment of Law Firms For Handling Patent Application Processing' but no count of granted patents.,https://www.nsut.ac.in/,low,low,high,,unknown
Entrance Exam Name,Admissions,JEE Main,B. Tech & B. Arch Admissions 2025. (Inferred from standard Delhi government university procedures for B.Tech/B.Arch via JAC Delhi/JEE Main).,https://www.nsut.ac.in/,medium,medium,high,2025,high
Entrance Exam Cutoff by Program,Admissions,N/A,The website provides links for admissions but does not list specific cutoff ranks or percentiles in the provided text.,https://www.nsut.ac.in/,low,low,high,,unknown
Total Students Enrolled,Student Demographics,N/A,"The provided documents mention intake for specific years (e.g., 45 in 1983) but do not provide current total actual student strength across all programs.",https://www.nsut.ac.in/en/history,low,low,high,,unknown
Female Students Enrolled,Student Demographics,N/A,No gender-specific enrollment data or NIRF student strength tables are present in the provided source text.,https://www.nsut.ac.in/,low,low,high,,unknown
Total Faculty,Faculty,22,"The Department [Computer Science and Engineering] has 22 faculty members, 07 Professors, 04 Associate Professors",https://www.nsut.ac.in/en/department/Computer%20Science%20and%20Engineering,medium,medium,high,,unknown
PhD Faculty,Faculty,N/A,"While individual faculty like Dr. Ankush Jain are listed with PhDs, there is no aggregate count of PhD-qualified faculty for the university.",https://www.nsut.ac.in/en/node/1509,low,low,high,,unknown
Average Teaching Experience of Faculty,Faculty,N/A,The source data does not contain the 'Experience (In Months)' column or a summary of faculty experience years.,https://www.nsut.ac.in/en/department/Computer%20Science%20and%20Engineering,low,low,high,,unknown
Sports Infrastructure & Achievements,Campus Facilities,N/A,The provided source text mentions holistic education and infrastructure development but does not list specific sports facilities or achievements.,https://www.nsut.ac.in/,low,low,high,,unknown
List of Active Clubs,Student Life,N/A,The source text mentions 'student activities' and 'cultural clubs' in general terms but does not provide a list of specific active club names.,https://www.nsut.ac.in/,low,low,high,,unknown
NIRF Ranking,Accreditations & Rankings,57,NSUT secures 57th rank in NIRF Rankings 2024 in Engineering category,https://www.nsut.ac.in/,medium,high,high,2024,medium
Institutional Status,Accreditations & Rankings,Non-affiliating State University,reconstitution and upgradation of the Netaji Subhas Institute of Technology as a non-affiliating Netaji Subhas University of Technology,https://www.nsut.ac.in/en/history,medium,high,high,,unknown
PhD Students Enrolled,Student Demographics,N/A,"The source mentions Ph.D programs initiated in 1989 and current admissions for 2025, but does not provide the total enrollment count for 2023-24.",https://www.nsut.ac.in/en/history,low,low,high,2025,high
