College Name,"NIT Surathkal"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 13:28:10"
Total KPIs,24
Data Found,24
Data Not Found,0
High Confidence,22
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Faculty",3,3,100%
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Admissions",2,2,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
Total Graduate Students (2025),Student Demographics,"1840 [UG 4Y: 986, PG 2Y: 792, PG 3Y: 62]",Extracted from NIRF 2025 document,https://www.nitk.ac.in/document/attachments/8178/Overall.pdf,low,low,critical,,unknown
Placed Students Count,Placements,"1421 [UG: 756, PG: 665]",Extracted from NIRF 2025 document,https://www.nitk.ac.in/document/attachments/8178/Overall.pdf,low,low,critical,,unknown
Median Compensation (Last Batch),Placements,10.50 LPA,Extracted from NIRF 2025 document,https://www.nitk.ac.in/document/attachments/8178/Overall.pdf,low,low,critical,,unknown
Students Pursuing Higher Education,Student Outcomes,"169 [UG: 114, PG: 55]",Extracted from NIRF 2025 document,https://www.nitk.ac.in/document/attachments/8178/Overall.pdf,low,low,critical,,unknown
Total Students Enrolled,Student Demographics,5956,Extracted from NIRF 2025 document,https://www.nitk.ac.in/document/attachments/8178/Overall.pdf,low,low,critical,,unknown
Female Students Enrolled,Student Demographics,1368,Extracted from NIRF 2025 document,https://www.nitk.ac.in/document/attachments/8178/Overall.pdf,low,low,critical,,unknown
Total Faculty,Faculty,277,Extracted from NIRF 2025 document,https://www.nitk.ac.in/document/attachments/8178/Overall.pdf,low,low,critical,,unknown
PhD Faculty,Faculty,266,Extracted from NIRF 2025 document,https://www.nitk.ac.in/document/attachments/8178/Overall.pdf,low,low,critical,,unknown
Average Teaching Experience of Faculty,Faculty,18.2,Extracted from NIRF 2025 document,https://www.nitk.ac.in/document/attachments/8178/Overall.pdf,low,low,critical,,unknown
PhD Students Enrolled,Student Demographics,"887 [Full Time: 647, Part Time: 240]",Extracted from NIRF 2025 document,https://www.nitk.ac.in/document/attachments/8178/Overall.pdf,low,low,critical,,unknown
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,"Faculty, researchers, and students at NITK have the flexibility to download and install products like MATLAB, Simulink... Journals subscribed through the INDEST consortium are available throughout.",https://www.nitk.ac.in/document/attachments/6853/Information_bulletin-PG___PhD_admissions-2024-final_version_to_publish.pdf,medium,high,high,2024,medium
Digital Library Access,Academic Infrastructure,True,Central library provided to meet the academic needs... Journals subscribed through the INDEST consortium are available throughout the campus LAN.,https://www.nitk.ac.in/document/attachments/6853/Information_bulletin-PG___PhD_admissions-2024-final_version_to_publish.pdf,medium,high,high,2024,medium
