College Name,"RV College of Engineering Bangalore"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 14:51:27"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,25
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,"RVCE has implemented ICT-enabled classrooms, e-learning resources, and digital laboratories to enhance the teaching-learning process.",https://rvce.edu.in/ict-enabled-learning,medium,high,high,,unknown
Digital Library Access,Academic Infrastructure,True,"The library provides access to various e-resources, including IEEE, Springer, and ScienceDirect, through its digital library portal.",https://rvce.edu.in/library-resources,medium,high,high,,unknown
Male Hostels Managed by College,Campus Facilities,4,"There are four exclusive hostels for boys: Cauvery, Krishna, Sir M Visvesvaraya, and Chamundi blocks.",https://rvce.edu.in/hostel-facilities,low,high,high,,unknown
Female Hostels Managed by College,Campus Facilities,1,The college provides on-campus hostel facilities for girls in the Diamond Jubilee Block.,https://rvce.edu.in/hostel-facilities,low,high,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,"RVCE utilizes an integrated Campus Management System (ERP) for student records, attendance, and academic management.",https://rvce.edu.in/campus-management-system,medium,high,high,,unknown
List of Courses,Academic Programs,"B.E(AS, BT, CH, CV, CS, CY, CD, EC, EE, ET, IE, IS, ME), M.Tech(BT, CE, CS, CN, DC, EE, MD, PE, SE, VLSI), MCA","RVCE offers 13 Under Graduate Engineering programmes, 16 Master Degree programmes and Doctoral Studies.",https://rvce.edu.in/about-us,medium,high,high,,unknown
Fees for Each Course,Academic Programs,"{'B.E (KCET)': 96574, 'B.E (COMEDK)': 244372, 'B.E (Management)': 1100000, 'M.Tech (PGCET)': 70000, 'MCA': 80000}","Annual tuition fee for COMEDK is Rs. 2,44,372. Management quota for CS is approx 11L per year.",https://rvce.edu.in/rvce-fees-structure,low,medium,high,,unknown
Total Graduate Students (2025),Student Demographics,1184,Total number of students graduating in minimum stipulated time (UG 4y + PG 2y) for the most recent NIRF cycle.,https://rvce.edu.in/sites/default/files/NIRF-2024-Engineering.pdf,medium,high,critical,2024,medium
Placed Students Count,Placements,943,Number of students placed: 943 out of 1050 eligible students in the 2023-24 cycle.,https://rvce.edu.in/placement-statistics,medium,high,high,2023,low
Maximum Compensation (Last Placement Season),Placements,92.00 LPA,Highest salary offered was 92 LPA for the batch of 2023-24.,https://rvce.edu.in/placement-statistics,medium,high,high,2023,low
