College Name,"NIT Calicut"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 13:44:35"
Total KPIs,24
Data Found,24
Data Not Found,0
High Confidence,24
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Faculty",3,3,100%
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Admissions",2,2,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
Total Graduate Students (2025),Student Demographics,"1501 [UG 4Y: 902, UG 5Y: 51, PG 2Y: 548]",Extracted from NIRF Overall document,https://nitc.ac.in/imgserver/uploads/attachments/overall_233_0.pdf,low,low,critical,,unknown
Placed Students Count,Placements,"1304 [UG: 831, PG: 473]",Extracted from NIRF Overall document,https://nitc.ac.in/imgserver/uploads/attachments/overall_233_0.pdf,low,low,critical,,unknown
Median Compensation (Last Batch),Placements,11.10 LPA,Extracted from NIRF Overall document,https://nitc.ac.in/imgserver/uploads/attachments/overall_233_0.pdf,low,low,critical,,unknown
Students Pursuing Higher Education,Student Outcomes,"154 [UG: 92, PG: 62]",Extracted from NIRF Overall document,https://nitc.ac.in/imgserver/uploads/attachments/overall_233_0.pdf,low,low,critical,,unknown
Total Students Enrolled,Student Demographics,5318,Extracted from NIRF Overall document,https://nitc.ac.in/imgserver/uploads/attachments/overall_233_0.pdf,low,low,critical,,unknown
Female Students Enrolled,Student Demographics,1450,Extracted from NIRF Overall document,https://nitc.ac.in/imgserver/uploads/attachments/overall_233_0.pdf,low,low,critical,,unknown
Total Faculty,Faculty,365,Extracted from NIRF Overall document,https://nitc.ac.in/imgserver/uploads/attachments/overall_233_0.pdf,low,low,critical,,unknown
PhD Faculty,Faculty,355,Extracted from NIRF Overall document,https://nitc.ac.in/imgserver/uploads/attachments/overall_233_0.pdf,low,low,critical,,unknown
Average Teaching Experience of Faculty,Faculty,12.53,Extracted from NIRF Overall document,https://nitc.ac.in/imgserver/uploads/attachments/overall_233_0.pdf,low,low,critical,,unknown
PhD Students Enrolled,Student Demographics,"1017 [Full Time: 956, Part Time: 61]",Extracted from NIRF Overall document,https://nitc.ac.in/imgserver/uploads/attachments/overall_233_0.pdf,low,low,critical,,unknown
