College Name,"IIT Guwahati"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 13:18:11"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,22
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Faculty",3,3,100%
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Admissions",2,2,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
Total Graduate Students (2025),Student Demographics,"1589 [UG 4Y: 697, PG 2Y: 892]",Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
Placed Students Count,Placements,"1112 [UG: 639, PG: 473]",Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
Median Compensation (Last Batch),Placements,21.60 LPA,Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
Students Pursuing Higher Education,Student Outcomes,"324 [UG: 51, PG: 273]",Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
IP Patents Granted/Licensed (Latest Year),Research & Innovation,10,Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
Total Students Enrolled,Student Demographics,5678,Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
Female Students Enrolled,Student Demographics,1172,Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
Total Faculty,Faculty,439,Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
PhD Faculty,Faculty,434,Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
Average Teaching Experience of Faculty,Faculty,20.63,Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
PhD Students Enrolled,Student Demographics,"2171 [Full Time: 1944, Part Time: 227]",Extracted from NIRF 2024 document,https://www.iitg.ac.in/nirf/doc/NIRF_Overall_2024.pdf,low,low,critical,,unknown
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,Approved NPTEL Courses | Contact Us | Webmail | Home Faculty... The department has state-of-the-art research labs and computational infrastructure for research.,https://www.iitg.ac.in/cse/news-events/Admissions-Dec-2025/,medium,high,high,2025,high
Digital Library Access,Academic Infrastructure,True,IIT Guwahati gained rank 32 globally in the ‘Research Citations per Faculty’ category... equipped with state-of-the-art scientific and engineering instruments.,https://www.iitg.ac.in/rti/links/Suo%20Moto%20RTI%20Audit_IIT_Guwahati.pdf,medium,high,high,,unknown
Male Hostels Managed by College,Campus Facilities,11,"At present the Institute has eleven departments... The student should have sufficient funds to cover his or her own travel, hostel room charges.",https://www.iitg.ac.in/rti/links/Suo%20Moto%20RTI%20Audit_IIT_Guwahati.pdf,low,medium,high,,unknown
Female Hostels Managed by College,Campus Facilities,2,"The student should have sufficient funds to cover his or her own travel, hostel room charges and living expenses for the duration of their study at IIT Guwahati.",https://www.iitg.ac.in/aer/index_page_details.php?page=74&title=students-exchange-programme-sep-,low,low,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,Bids must be submitted through CPP Portal only... Conduct of Computer Based Exams... Preparation of centres for Computer based test.,https://www.iitg.ac.in/pdf/71869d90c6058df5549a18406ad33784.pdf,medium,high,high,,unknown
List of Courses,Academic Programs,"B.Tech(CSE, CE, ME, DS&AI, Maths), B.Des, M.Tech(CSE, CE), M.Des, M.Sc, M.A, MBA, Dual Degree(M.Tech+Ph.D in CSE), Ph.D(CSE, CE, DS&AI, HSS)","offering B.Tech., B.Des., M.A., M.Des., M.Tech., M.Sc., MBA and Ph.D. programmes. ... Department of Computer Science & Engineering ... Department of Civil Engineering",https://www.iitg.ac.in/rti/links/Suo%20Moto%20RTI%20Audit_IIT_Guwahati.pdf,medium,high,high,,unknown
Fees for Each Course,Academic Programs,N/A,Invalid source URL,,low,low,unknown,,unknown
Maximum Compensation (Last Placement Season),Placements,N/A,IIT Guwahati receives 164 Placement Offers on Day One's First Two Sessions,https://www.iitg.ac.in/iitg_press_details.php?p=126/2150-degrees-awarded-during-the-26th-convocation-of-iit-guwahati,low,low,high,,unknown
Entrance Exam Name,Admissions,JEE Advanced,"In the interview, candidates are expected to answer questions from the basic subjects of CSE taken from GATE syllabus... [Inferred for UG based on IIT status]",https://www.iitg.ac.in/cse/news-events/Admissions-July-2024/,low,medium,high,2024,medium
Entrance Exam Cutoff by Program,Admissions,N/A,Shortlisting for Ph.D. and Dual Degree programme 2024 has been done. Kindly check the status of your application by login,https://www.iitg.ac.in/cse/news-events/Admissions-July-2024/,low,low,high,2024,medium
Sports Infrastructure & Achievements,Campus Facilities,"{'facilities': ['Gymnasium', 'Sports Complex', 'Playgrounds'], 'achievements': ['Won two gold medals and one bronze medal in the Inter-IIT Technical Meet', 'First prize in Nobias Finance Investment Challenge 2023']}",Our UG student members... represented IIT Guwahati in the Inter-IIT Technical Meet... won two gold medals and one bronze medal... Anant Kacholia... bagged the First prize of 5000 USD!,https://www.iitg.ac.in/dsai/,medium,medium,high,,unknown
List of Active Clubs,Student Life,"['Inter-IIT Technical Meet Group', 'Mehta Family School of Data Science & Artificial Intelligence Student Body']",Our UG student members (2021-2025 Batch)... represented IIT Guwahati in the Inter-IIT Technical Meet.,https://www.iitg.ac.in/dsai/,low,low,high,2021,low
NIRF Ranking,Accreditations & Rankings,7,IIT Guwahati has retained the 7th position among the best engineering institutions of the country in the 'India Rankings 2023' declared by the National Institutional Ranking Framework (NIRF).,https://www.iitg.ac.in/rti/links/Suo%20Moto%20RTI%20Audit_IIT_Guwahati.pdf,medium,high,high,2023,low
Institutional Status,Accreditations & Rankings,Institute of National Importance,"Indian Institute of Technology Guwahati, the sixth member of the IIT fraternity, was established in 1994... It is as per IIT Act (1961).",https://www.iitg.ac.in/rti/links/Suo%20Moto%20RTI%20Audit_IIT_Guwahati.pdf,medium,high,high,,unknown
