College Name,Amity University Noida
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:18
Total KPIs,25
Data Found,17
Data Not Found,8
Populated,68.00%
,
,
------------------------------,
,
College Name,Anna University
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:19
Total KPIs,25
Data Found,19
Data Not Found,6
Populated,76.00%
,
,
------------------------------,
,
College Name,BITS Pilani
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:08
Total KPIs,25
Data Found,21
Data Not Found,4
Populated,84.00%
,
,
------------------------------,
,
College Name,BMS College of Engineering Bangalore
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:48
Total KPIs,25
Data Found,20
Data Not Found,5
Populated,80.00%
,
,
------------------------------,
,
College Name,BMSCE Bangalore
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:56
Total KPIs,25
Data Found,17
Data Not Found,8
Populated,68.00%
,
,
------------------------------,
,
College Name,BVB College of Engineering and Technology
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 15:13
Total KPIs,25
Data Found,19
Data Not Found,6
Populated,76.00%
,
,
------------------------------,
,
College Name,Chandigarh University
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:48
Total KPIs,25
Data Found,20
Data Not Found,5
Populated,80.00%
,
,
------------------------------,
,
College Name,COEP Pune
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:42
Total KPIs,25
Data Found,19
Data Not Found,6
Populated,76.00%
,
,
------------------------------,
,
College Name,Coimbatore Institute of Technology
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 15:13
Total KPIs,25
Data Found,21
Data Not Found,4
Populated,84.00%
,
,
------------------------------,
,
College Name,Dayananda Sagar College of Engineering
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:54
Total KPIs,25
Data Found,18
Data Not Found,7
Populated,72.00%
,
,
------------------------------,
,
College Name,Delhi Technological University
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:18
Total KPIs,25
Data Found,23
Data Not Found,2
Populated,92.00%
,
,
------------------------------,
,
College Name,ICT Mumbai
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:43
Total KPIs,25
Data Found,22
Data Not Found,3
Populated,88.00%
,
,
------------------------------,
,
College Name,IIT BHU Varanasi
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:20
Total KPIs,25
Data Found,24
Data Not Found,1
Populated,96.00%
,
,
------------------------------,
,
College Name,IIT Bombay
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 12:53
Total KPIs,25
Data Found,23
Data Not Found,2
Populated,92.00%
,
,
------------------------------,
,
College Name,IIT Delhi
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:04
Total KPIs,25
Data Found,24
Data Not Found,1
Populated,96.00%
,
,
------------------------------,
,
College Name,IIT Guwahati
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:18
Total KPIs,25
Data Found,21
Data Not Found,4
Populated,84.00%
,
,
------------------------------,
,
College Name,IIT Hyderabad
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 12:41
Total KPIs,25
Data Found,22
Data Not Found,3
Populated,88.00%
,
,
------------------------------,
College Name,IIT Indore
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:21
Total KPIs,25
Data Found,21
Data Not Found,4
Populated,84.00%
,
,
------------------------------,
,
College Name,IIT Kanpur
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:10
Total KPIs,25
Data Found,24
Data Not Found,1
Populated,96.00%
,
,
------------------------------,
,
College Name,IIT Kharagpur
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:14
Total KPIs,25
Data Found,22
Data Not Found,3
Populated,88.00%
,
,
------------------------------,
,
College Name,IIT Madras
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:06
Total KPIs,25
Data Found,25
Data Not Found,0
Populated,100.00%
,
,
------------------------------,
,
College Name,IIT Roorkee
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:11
Total KPIs,25
Data Found,24
Data Not Found,1
Populated,96.00%
,
,
------------------------------,
,
College Name,Jadavpur University
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:31
Total KPIs,25
Data Found,24
Data Not Found,1
Populated,96.00%
,
,
------------------------------,
,
College Name,JSS Science and Technology University Mysore
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:53
Total KPIs,25
Data Found,22
Data Not Found,3
Populated,88.00%
,
,
------------------------------,
,
College Name,KLE Technological University
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 15:13
Total KPIs,25
Data Found,19
Data Not Found,6
Populated,76.00%
,
,
------------------------------,
,
College Name,LPU Jalandhar
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:44
Total KPIs,25
Data Found,20
Data Not Found,5
Populated,80.00%
,
------------------------------,
,
College Name,MIT Manipal
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 15:04
Total KPIs,25
Data Found,18
Data Not Found,7
Populated,72.00%
,
,
------------------------------,
,
College Name,MS Ramaiah Institute of Technology
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:50
Total KPIs,25
Data Found,21
Data Not Found,4
Populated,84.00%
,
,
------------------------------,
,
College Name,Netaji Subhas University of Technology
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:46
Total KPIs,25
Data Found,25
Data Not Found,0
Populated,100.00%
,
,
------------------------------,
,
College Name,NIE Mysore
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:57
Total KPIs,25
Data Found,20
Data Not Found,5
Populated,80.00%
,
,
------------------------------,
,
College Name,NIT Calicut
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:44
Total KPIs,25
Data Found,23
Data Not Found,2
Populated,92.00%
,
,
------------------------------,
,
College Name,NIT Durgapur
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:54
Total KPIs,25
Data Found,22
Data Not Found,3
Populated,88.00%
,
,
------------------------------,
,
College Name,NIT Jaipur
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:55
Total KPIs,25
Data Found,21
Data Not Found,4
Populated,84.00%
,
,
------------------------------,
,
College Name,NIT Kurukshetra
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 14:06
Total KPIs,25
Data Found,0
Data Not Found,0
Populated,0.00%
,
,
------------------------------,
,
College Name,NIT Rourkela
,
=== AUDIT OVERVIEW ===,
Audit Date,11-02-2026 13:41
Total KPIs,25
Data Found,4
Data Not Found,1
Populated,96.00%
,
,
------------------------------,
,
College Name,NIT Surathkal
,
=== AUDIT OVERVIEW ===,
